run_id,sample_size,treated_group_size,accepted
run_20260520T005101Z_bdfbd4,47825,33077.0,True
run_20260520T011940Z_319183,374548,75734.0,True
run_20260520T014159Z_4ccec8,82777,34628.0,True
run_20260520T020525Z_1bf7f6,95189,77055.0,True
run_20260520T022101Z_d4f548,100554,81508.0,True
run_20260520T023839Z_4659f9,89898,75919.0,True
run_20260520T025957Z_3556de,278942,107582.0,True
run_20260520T032125Z_3d5810,24927,14148.0,True
run_20260520T034137Z_333f43,248270,78994.0,True
run_20260520T035611Z_34acdb,48323,29093.0,True
run_20260520T041607Z_3cb794,236709,77055.0,True
run_20260520T043428Z_dd824c,273485,142497.0,True
run_20260520T045009Z_0c0baf,248270,85333.0,True
run_20260520T051030Z_7f63f6,269817,75030.0,True
run_20260520T130755Z_aac209,84626,58861.0,True
run_20260520T133844Z_fdabef,215228,92581.0,True
run_20260520T135630Z_9779bb,54470,21079.0,True
run_20260520T143100Z_c168ab,256423,79183.0,True
run_20260520T145631Z_eeb032,180210,99616.0,True
run_20260520T151946Z_0f202a,104257,80300.0,True
run_20260520T154318Z_658fe0,271638,90501.0,True
run_20260520T161023Z_4bf2c2,143235,74231.0,True
run_20260520T163231Z_0d4398,89930,68783.0,True
run_20260520T171442Z_80e641,151533,76016.0,True
run_20260520T180655Z_e66acd,149598,76981.0,True
run_20260520T183141Z_1e0c4e,140579,68300.0,True
run_20260520T190842Z_6fec13,86259,35570.0,True
run_20260520T192847Z_aa9dbc,103096,36075.0,True
run_20260520T194303Z_b88322,167825,95988.0,True
run_20260520T200444Z_dbf7ca,256605,105255.0,True
